finetuned_bart,T5,labels
"Customer is interested in buying a new smartphone, a laptop and a gaming console. Salesman will help him to choose the right one. Customer is considering upgrading his company's server. Customer wants to buy a new smartwatch and a new printer for his home office.",Customer is looking for a laptop that can handle graphic design software. He is considering upgrading his companys server. Salesman advises customer to buy a new printer for his home office. Sellerman is interested in buying a gaming console.,0.0
"Customer has digestive issues and is looking for a solution. Salesman recommends digestive health supplements. Customer is sceptical about their safety and effectiveness, but will take time to decide. He will share testimonials and reviews from customers who have used them.",Customers of their digestive health supplements are worried about the potential side effects of the supplements. Shoppers have been experiencing digestive problems lately and they are looking for a solution. Salesman explains how they can help them find a way to resolve their concerns.,1.0
Customer is interested in investing in the stock market. He's had some bad experiences with financial advisors in the past. Salesman promises to help him build rapport with his clients. Customer is not sure if he should invest in stocks or bonds.,"Sellerman is interested in investing in the stock market. He advises him to build a strong rapport and provide a personal financial plan that meets his needs. Salesman explains how to help him find the most suitable investments options based on your needs, and why should he choose him.",0.0
Customer is interested in financial planning services from Salesman. Customer is concerned about his retirement savings and wants to ensure a secure future. Customer has had bad experiences with financial advisors in the past. Salesman wants to build rapport and earn customer trust. They will work together to create a plan that fits customer's budget.,"Salesman, managing director of Financial Planning, talks with customer about his concerns about retirement savings and the financial stability of the company. Sellerman is interested in financial planning services, and he wants to make a personalized plan to address any concerns you may have about the future.",0.0
"Customer wants to buy a new laptop, a smartphone and a new home theater system. Customer wants to upgrade his internet plan. He wants to invest in a new software solution for his company. Customer is thinking of switching his mobile phone provider.",Customer is looking for a smartphone with a good camera and long battery life. He wants to buy a new laptop. Salesman is considering upgrading his internet plan and how to make a decision on the right software solution for his company. Shopper is thinking about switching his mobile phone provider.,0.0
Customer is looking for a financial advisor who understands her goals. She has had bad experiences with financial advisors in the past. She wants to make sure that her investments align with her values and long-term objectives. She also has concerns about the current market situation. Salesman will help her with that.,Customer is looking for a trustworthy financial advisor who understands his financial goals and wants to build trust in the industry. Salesman offers to help him navigate through market concerns. Sellerman will assist him through any uncertainties.,1.0
Customer wants to buy a new laptop. He wants to make sure it is reliable and affordable. Salesman will show him some options that might suit his needs. Customer is not very tech-savvy but has heard good things about the customer service.,"Salesman is looking for a new laptop. He is interested in buying a laptop, which is reliable and reliable. Sellerman gives him a compliment on the customer service. Selman explains how the laptops are designed with user-friendliness in mind and offers personalized assistance to ensure a smooth and comfortable experience. The customer is thankful and thanks customers for their customers' services.",1.0
Customer is looking for a new healthcare provider. She's been having health issues lately and wants a doctor who can provide personalized care. She doesn't want to share her medical history with new doctors as she's had bad experiences with them in the past. Salesman tries to reassure her.,"The BBC's weekly Theories programme profiles different business leaders from around the world. This week we speak to Sally Selman, a healthcare consultant who has been struggling with health issues recently and is looking for a new healthcare provider. Here are five things you need to know about the health service.",0.0
Customer is interested in financial planning services from John. Customer had a bad experience with a previous financial advisor. John will share testimonials and success stories to build customer's trust. Customer is concerned about the fees involved. John can provide a breakdown of their fees.,"Financial Planning is an investment in your future, and the fees are based on the value and expertise we provide. Salesman explains how financial planning can benefit you and how it can affect you. Sellerman talks to John, customer and salesman about their concerns about the impact of the financial plan on you, customers and customers.",1.0
Customer is interested in investing in the stock market. Salesman will explain to him why he should choose his bank to manage his investments. Customer is considering switching insurance provider. Customer wants to start a small business. He will explain how his bank can help him find the best financing option.,"Salesman, managing his investments in the stock market, explains how his bank can help him find the best financing option. He is interested in investing in a small business, and how the banking company can provide clients with tailored solutions, such as business loans and merchant services. The BBC's Geeta Pandey profiles some of the clients who have worked with financial advisors in recent years.",1.0
Customer is interested in buying a new laptop. He is worried about the quality and reliability of the product and the customer support. Salesman tries to assuage his concerns. Customer is not ready to make a purchase decision yet.,"Salesman, who is considering buying a new laptop, explains how the company's software meets her business needs and how reliable it can be to meet her needs. He is interested in purchasing a laptop and offers customer support for customers. Seller will help him with the details about his current setup.",1.0
"Customer is looking for a health insurance plan. He has been diagnosed with a chronic condition that requires regular doctor visits and occasional surgeries. He's contacted a few insurance providers, but hasn't been able to find a plan that meets all his requirements. Salesman helps him to build rapport with his customer. The company has a newsletter that provides relevant and valuable information about health insurance.",Shoppers with similar health conditions are being asked about their options for buying a health insurance plan. Salesman explains how he can stay connected with his company for future updates and information. He talks to customers about how to keep in touch with their company.,1.0
Customer is interested in the financial planning services of the Salesman. Customer has had bad experiences with financial advisors in the past. Customer is unsure if he has enough savings to start investing in the stock market and if now is the right time to start planning for retirement. Salesman tries to assuage Customer's concerns.,"Sellerman, managing director of financial planning services, explains how to work together to achieve your financial goals. He speaks with customer and customer about how they can work with each other to reach your finance goals and what can be done to secure a comfortable future in the future.",0.0
"Customer is interested in purchasing a new smartphone. He wants a smartphone with a good camera and a long battery life. He is also looking for a smartphone that is durable and has a sleek design. The latest model has a high-quality camera and an extended battery life, but he is concerned about the price. The salesman will offer him a special discount and some additional accessories free of charge. Customer will visit the store to try out the demo unit.",Salesman is looking for a new smartphone with a good camera and long battery life. He offers a special discount and some additional accessories free of charge. Seller will help him make an informed decision on the smartphone before making a decision.,1.0
Customer is interested in health supplements. He has low energy levels and is concerned about his immune system. He asks for information on immune-boosting supplements and antioxidant-rich products. ,"Retailer Salesman is consulting customer about the benefits of antioxidants and their antioxidant-rich products. He explains how their health supplements are intended to meet the specific needs of customers, and how they can help strengthen their immune system. Sellerman advises customers about their top-selling products and what they include in them.",0.0
"Customer wants to buy a new laptop, but she's not sure which one is the best for her. She's also looking for a smartphone with a good camera. Salesman helps her to find the best software for her business. Customer has had some negative experiences with customer support in the past. He shares testimonials from satisfied customers.","The BBC's weekly The Business Business series profiles different business leaders from around the world. This week we speak to salesman and Salesman, who discuss their concerns about customer support. They discuss how they can help define their needs and preferences.",1.0
"Customer is looking for a new laptop and a smartphone. He's been researching different brands and their laptops, but he's not sure which one is the best for him. He had bad experiences with customer service in the past. Salesman assures him that his company is committed to customer satisfaction.","In our series of letters from African journalists, novelist and writer Adaobi Sanjay reflects on the challenges of making a purchase of a new laptop. Here are five things you need to know about the market. We'll have another update for you on Friday evening.",0.0
Customer wants to know more about the financial planning services offered by the Salesman. Customer has had bad experiences with financial advisors in the past. The Salesman wants to earn the customer's trust.,Selman is interested in his financial planning services. He has been struggling with managing his finances and has experienced bad experiences with financial advisors in the past. Sellerman explains the advantages and disadvantages of financial planing services to his customers.,0.0
